=== Run started  2025-11-09T12:52:54 ===
WILL_MOVE   | LLBG | v1.2.6 | E:\MFS2020 Addons\Airports\Asia\Israel\aerosoft-airport-llbg-ben-gurion-airport -> E:\MFS2020&2024 Addons\Airports\Asia\Israel\aerosoft-airport-llbg-ben-gurion-airport
NO_MATCH    | RJBE | v1.0.1 | E:\MFS2020 Addons\Airports\Asia\Japan\devinci-airport-rjbe-kobe\manifest.json
NOOP        | RJCC | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Japan\dominicdesignteam-airport-rjcc-new-chitose\manifest.json
WILL_MOVE   | RJCC | v1.1.0 | E:\MFS2020 Addons\Airports\Asia\Japan\dominicdesignteam-airport-rjcc-new-chitose -> E:\MFS2020&2024 Addons\Airports\Asia\Japan\dominicdesignteam-airport-rjcc-new-chitose
NOOP        | RJGG | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Japan\dominicdesignteam-airport-rjgg-chubu\manifest.json
WILL_MOVE   | RJGG | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Japan\dominicdesignteam-airport-rjgg-chubu -> E:\MFS2020&2024 Addons\Airports\Asia\Japan\dominicdesignteam-airport-rjgg-chubu
NOOP        | RJOA | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Japan\doublet-airport-rjoa-hiroshima\manifest.json
WILL_MOVE   | RJOA | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Japan\doublet-airport-rjoa-hiroshima -> E:\MFS2020&2024 Addons\Airports\Asia\Japan\doublet-airport-rjoa-hiroshima
NOOP        | RJAA | v1.3.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Japan\drzewieckidesign-airport-rjaa-narita\manifest.json
WILL_MOVE   | RJAA | v1.3.0 | E:\MFS2020 Addons\Airports\Asia\Japan\drzewieckidesign-airport-rjaa-narita -> E:\MFS2020&2024 Addons\Airports\Asia\Japan\drzewieckidesign-airport-rjaa-narita
NOOP        | RJFK | v2.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Japan\flyhigh-airport-rjfk-kagoshima\manifest.json
WILL_MOVE   | RJFK | v2.0.0 | E:\MFS2020 Addons\Airports\Asia\Japan\flyhigh-airport-rjfk-kagoshima -> E:\MFS2020&2024 Addons\Airports\Asia\Japan\flyhigh-airport-rjfk-kagoshima
NO_MATCH    | MADB | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Japan\madb-airport-rjoo-osaka\manifest.json
NO_MATCH    | MADB | v1.1.0 | E:\MFS2020 Addons\Airports\Asia\Japan\madb-airport-rjtf-chofu\manifest.json
NO_MATCH    | MFSG | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Japan\mfsg-airport-rjnt-toyama\manifest.json
NO_MATCH    | MFSG | v1.1.0 | E:\MFS2020 Addons\Airports\Asia\Japan\mfsg-airport-rjok-kochi-ryoma\manifest.json
NO_MATCH    | MFSG | v1.1.0 | E:\MFS2020 Addons\Airports\Asia\Japan\mfsg-airport-rjsa-aomori\manifest.json
NO_MATCH    | RJEO | v1.0.1 | E:\MFS2020 Addons\Airports\Asia\Japan\sid-airport-rjeo-okushiri\manifest.json
NOOP        | RJKA | v2.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Japan\simulacionextrema-airport-rjka-amami\manifest.json
WILL_MOVE   | RJKA | v2.0.0 | E:\MFS2020 Addons\Airports\Asia\Japan\simulacionextrema-airport-rjka-amami -> E:\MFS2020&2024 Addons\Airports\Asia\Japan\simulacionextrema-airport-rjka-amami
NOOP        | RJKI | v1.5.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\Japan\simulacionextrema-airport-rjki-kikai\manifest.json
